WardName,median_value,row_number
Are 1,4,1
Akanbi 3,5,2
Oju-Ekun,5.5,3
Oka-Ogun,7.5,4
Alanamu,8,5
Gambari 1,8,6
Ogidi,8,7
Gambari 2,9.5,8
Adewole,10,9
Baboko,10.5,10
Balogun Fulani 2,10.5,11
Oke Oyi/Oke-Ose/Alalubosa,14,12
Badari,15,13
M/Ngeri,16,14
Okaka 1,16.5,15
Ajikobi,17.5,16
Zango 1,18,17
Ubandawaki,18.5,18
Are 2,19,19
Oko-Erin,20,20
Wara/Osin/Egbejila,21.5,21
Akanbi 1,22,22
Akanbi 4,23,23
Balogun Fulani 1,23,24
Maya/Ileapa,24,25
Ibagun,24.5,26
Okaka 2,26,27
Akanbi 2,26.5,28
Apado,26.5,29
Agbeyangi/Gbadamu,29,30
Oloje,30.5,31
Balogun Fulani 3,31.5,32
Iponrin,31.5,33
Akanbi 5,32,34
Marafa/Pepele,33.5,35
